,id_post,fecha_publicacion,hora,categoria,impresiones,vistas,likes,comentarios,shares,longitud,mes,engagement,engage_pond,rango_longitud
0,1,2026-07-26 16:54:35,16,tech,480,455,14,6,4,396,7,5.27,15.38,Medio
1,2,2026-06-18 09:13:51,9,tech,2098,1893,47,26,33,338,6,5.6,21.92,Corto
2,3,2026-04-26 15:13:19,15,tech,6930,5520,172,73,59,259,4,5.51,16.96,Corto
3,4,2026-05-08 08:20:41,8,tech,2847,2363,77,31,38,373,5,6.18,21.37,Corto
4,5,2026-06-12 12:05:15,12,business,1437,1109,17,10,6,173,6,2.98,9.47,Muy Corto
5,6,2026-04-12 08:25:05,8,tech,82841,69311,2044,932,1177,518,4,5.99,21.91,Medio
6,7,2026-06-10 12:43:00,12,design,9889,8305,718,17,28,303,6,9.19,12.16,Corto
7,8,2026-02-28 12:10:25,12,tech,4944,4497,172,36,87,302,2,6.56,22.5,Corto
8,9,2026-02-25 11:19:54,11,design,2253,1589,109,7,4,381,2,7.55,10.64,Medio
9,10,2026-06-03 00:18:14,0,design,3943,2686,209,15,13,268,6,8.82,13.89,Corto
10,11,2026-07-02 10:28:45,10,design,1344,894,74,5,5,313,7,9.4,14.99,Corto
11,12,2026-06-09 21:27:02,21,tech,947,656,15,5,6,336,6,3.96,12.65,Corto
12,13,2026-02-22 18:16:32,18,business,14413,13247,370,80,78,175,2,3.99,9.92,Muy Corto
13,14,2026-04-08 07:25:32,7,tech,1560,1427,56,20,16,376,4,6.45,18.5,Medio
14,15,2026-06-30 09:59:42,9,tech,7462,5934,132,60,65,393,6,4.33,15.03,Medio
15,16,2026-05-16 12:10:48,12,business,13404,11776,249,102,66,140,5,3.54,10.06,Muy Corto
16,17,2026-03-11 01:27:13,1,tech,735,562,18,3,9,499,3,5.34,18.15,Medio
17,18,2026-07-01 20:56:35,20,business,12972,9276,270,71,77,188,7,4.51,12.61,Muy Corto
18,19,2026-03-02 16:01:14,16,design,38572,27001,1737,202,133,295,3,7.67,13.37,Corto
19,20,2026-07-16 12:34:57,12,tech,1820,1232,48,12,19,371,7,6.41,20.13,Corto
20,21,2026-06-04 11:42:58,11,tech,1613,1065,25,6,14,331,6,4.23,15.12,Corto
21,22,2026-06-02 02:47:11,2,design,219,163,8,0,0,367,6,4.91,4.91,Corto
22,23,2026-07-21 17:52:06,17,tech,5466,4816,118,41,86,450,7,5.09,20.14,Medio
23,24,2026-04-19 17:22:00,17,tech,2174,1868,71,18,21,374,4,5.89,16.65,Corto
24,25,2026-06-03 19:38:57,19,tech,1318,992,29,12,19,442,6,6.05,23.08,Medio
25,26,2026-04-02 14:47:01,14,tech,3722,3255,125,17,36,285,4,5.47,14.78,Corto
26,27,2026-02-21 18:14:17,18,design,12259,10183,655,31,28,304,2,7.01,9.85,Corto
27,28,2026-04-17 08:07:00,8,business,5946,4216,58,24,38,167,4,2.85,10.86,Muy Corto
28,29,2026-05-22 15:31:31,15,design,4392,3217,222,24,11,265,5,7.99,12.62,Corto
29,30,2026-04-29 12:48:38,12,tech,277,221,6,1,3,405,4,4.52,15.38,Medio
30,31,2026-08-12 09:43:39,9,business,2947,2642,52,13,20,95,8,3.22,9.99,Muy Corto
31,32,2026-07-02 12:15:04,12,design,4901,4133,367,9,17,353,7,9.51,13.04,Corto
32,33,2026-07-25 11:53:05,11,business,3681,3397,72,26,26,163,7,3.65,11.3,Muy Corto
33,34,2026-08-17 09:05:14,9,tech,5586,5084,112,57,78,265,8,4.86,18.96,Corto
34,35,2026-05-26 21:43:37,21,tech,888,793,25,4,7,378,5,4.54,12.23,Medio
35,36,2026-05-01 18:06:30,18,business,34000,22500,364,81,118,184,5,2.5,7.25,Muy Corto
36,37,2026-03-03 10:13:15,10,business,4020,2676,61,14,18,171,3,3.48,9.75,Muy Corto
37,38,2026-06-09 10:13:32,10,design,5703,4779,239,37,17,291,6,6.13,10.94,Corto
38,39,2026-07-11 17:11:36,17,business,36812,32670,893,153,206,170,7,3.83,9.65,Muy Corto
39,40,2026-07-22 17:43:24,17,tech,20000,16662,516,248,207,441,7,5.83,18.99,Medio
40,41,2026-03-11 09:00:28,9,design,7389,4970,322,26,17,286,3,7.34,11.31,Corto
41,42,2026-05-25 14:23:35,14,tech,1760,1343,53,10,11,493,5,5.51,13.48,Medio
42,43,2026-08-11 13:47:43,13,tech,12195,9957,377,129,185,424,8,6.94,23.83,Medio
43,44,2026-04-30 12:45:09,12,design,728,483,33,2,2,287,4,7.66,11.8,Corto
44,45,2026-04-13 10:51:59,10,tech,1032,801,21,8,7,348,4,4.49,13.61,Corto
45,46,2026-05-15 17:57:31,17,tech,3686,2781,95,40,40,461,5,6.29,20.68,Medio
46,47,2026-08-01 03:57:24,3,design,1587,1080,92,4,2,318,8,9.07,11.48,Corto
47,48,2026-04-21 22:33:46,22,business,2788,1843,26,8,11,111,4,2.44,7.92,Muy Corto
48,49,2026-04-29 11:21:03,11,tech,3483,2994,75,33,47,397,4,5.18,19.47,Medio
49,50,2026-07-23 17:44:32,17,tech,14840,13407,327,114,182,179,7,4.65,16.7,Muy Corto
50,51,2026-05-17 18:30:04,18,business,2154,1552,30,6,7,172,5,2.77,7.09,Muy Corto
51,52,2026-07-14 08:22:34,8,design,5017,4675,283,33,25,320,7,7.29,13.16,Corto
52,53,2026-06-09 19:22:28,19,tech,2691,2123,78,27,42,512,6,6.92,24.59,Medio
53,54,2026-06-26 18:46:51,18,business,1826,1689,44,7,15,199,6,3.91,11.37,Muy Corto
54,55,2026-06-07 09:06:36,9,design,1913,1681,118,7,9,258,6,7.97,12.97,Corto
