id_post,fecha_publicacion,hora,categoria,impresiones,vistas,likes,comentarios,shares,longitud
1,2026-07-26 16:54:35,16,tech,480,455,14,6,4,396
2,2026-06-18 09:13:51,9,tech,2098,1893,47,26,33,338
3,2026-04-26 15:13:19,15,tech,6930,5520,172,73,59,259
4,2026-05-08 08:20:41,8,tech,2847,2363,77,31,38,373
5,2026-06-12 12:05:15,12,business,1437,1109,17,10,6,173
6,2026-04-12 08:25:05,8,tech,82841,69311,2044,932,1177,518
7,2026-06-10 12:43:00,12,design,9889,8305,718,17,28,303
8,2026-02-28 12:10:25,12,tech,4944,4497,172,36,87,302
9,2026-02-25 11:19:54,11,design,2253,1589,109,7,4,381
10,2026-06-03 00:18:14,0,design,3943,2686,209,15,13,268
11,2026-07-02 10:28:45,10,design,1344,894,74,5,5,313
12,2026-06-09 21:27:02,21,tech,947,656,15,5,6,336
13,2026-02-22 18:16:32,18,business,14413,13247,370,80,78,175
14,2026-04-08 07:25:32,7,tech,1560,1427,56,20,16,376
15,2026-06-30 09:59:42,9,tech,7462,5934,132,60,65,393
16,2026-05-16 12:10:48,12,business,13404,11776,249,102,66,140
17,2026-03-11 01:27:13,1,tech,735,562,18,3,9,499
18,2026-07-01 20:56:35,20,business,12972,9276,270,71,77,188
19,2026-03-02 16:01:14,16,design,38572,27001,1737,202,133,295
20,2026-07-16 12:34:57,12,tech,1820,1232,48,12,19,371
21,2026-06-04 11:42:58,11,tech,1613,1065,25,6,14,331
22,2026-06-02 02:47:11,2,design,219,163,8,0,0,367
23,2026-07-21 17:52:06,17,tech,5466,4816,118,41,86,450
24,2026-04-19 17:22:00,17,tech,2174,1868,71,18,21,374
25,2026-06-03 19:38:57,19,tech,1318,992,29,12,19,442
26,2026-04-02 14:47:01,14,tech,3722,3255,125,17,36,285
27,2026-02-21 18:14:17,18,design,12259,10183,655,31,28,304
28,2026-04-17 08:07:00,8,business,5946,4216,58,24,38,167
29,2026-05-22 15:31:31,15,design,4392,3217,222,24,11,265
30,2026-04-29 12:48:38,12,tech,277,221,6,1,3,405
31,2026-08-12 09:43:39,9,business,2947,2642,52,13,20,95
32,2026-07-02 12:15:04,12,design,4901,4133,367,9,17,353
33,2026-07-25 11:53:05,11,business,3681,3397,72,26,26,163
34,2026-08-17 09:05:14,9,tech,5586,5084,112,57,78,265
35,2026-05-26 21:43:37,21,tech,888,793,25,4,7,378
36,2026-05-01 18:06:30,18,business,34000,22500,364,81,118,184
37,2026-03-03 10:13:15,10,business,4020,2676,61,14,18,171
38,2026-06-09 10:13:32,10,design,5703,4779,239,37,17,291
